Code INSEE;Commune;geo_point_2d;Code Postal;Code Département;Région
32200;LASSERAN;43.6034958124,0.526620389373;32550;32;MIDI-PYRENEES
70222;ETRELLES-ET-LA-MONTBLEUSE;47.4743685356,5.85585221186;70700;70;FRANCHE-COMTE
14542;ROSEL;49.2216532191,-0.450027445398;14740;14;BASSE-NORMANDIE
62725;ROYON;50.4726572315,1.99966116605;62990;62;NORD-PAS-DE-CALAIS
73081;LE CHATELARD;45.6813038277,6.12957262483;73630;73;RHONE-ALPES
77107;CHAUMES-EN-BRIE;48.6671544898,2.84491273965;77390;77;ILE-DE-FRANCE
1430;VARAMBON;46.0433928197,5.2947944594;1160;1;RHONE-ALPES
42334;VIOLAY;45.8519288736,4.34938627101;42780;42;RHONE-ALPES
78366;MAREIL-LE-GUYON;48.7910883719,1.85148876174;78490;78;ILE-DE-FRANCE
7262;SAINT-LAURENT-LES-BAINS;44.5971365641,3.95806929863;7590;7;RHONE-ALPES
30140;LASALLE;44.0428979358,3.85182045128;30460;30;LANGUEDOC-ROUSSILLON
55261;JUVIGNY-EN-PERTHOIS;48.5973061129,5.16335627452;55170;55;LORRAINE
39547;VAUX-LES-SAINT-CLAUDE;46.354121477,5.73284459773;39360;39;FRANCHE-COMTE
55047;BETHELAINVILLE;49.1684519662,5.23346533727;55100;55;LORRAINE
62278;DROUVIN-LE-MARAIS;50.4892270417,2.63277217205;62131;62;NORD-PAS-DE-CALAIS
11426;VILLEGLY;43.2930208254,2.43699100253;11600;11;LANGUEDOC-ROUSSILLON
38353;SAINT-ALBAN-DU-RHONE;45.4179171487,4.75568259683;38370;38;RHONE-ALPES
10044;BETIGNICOURT;48.4499267207,4.45503670756;10500;10;CHAMPAGNE-ARDENNE
31155;COURET;43.0492105288,0.816891672701;31160;31;MIDI-PYRENEES
38381;SAINT-DIDIER-DE-LA-TOUR;45.5479526483,5.48734196729;38110;38;RHONE-ALPES
35333;LE THEIL-DE-BRETAGNE;47.917964054,-1.42174921295;35240;35;BRETAGNE
7126;LAGORCE;44.4449016448,4.43141639823;7150;7;RHONE-ALPES
11128;ESCUEILLENS-ET-SAINT-JUST-DE-BELENGARD;43.100423517,2.02148370571;11240;11;LANGUEDOC-ROUSSILLON
50467;SAINT-FLOXEL;49.4885809022,-1.35724625484;50310;50;BASSE-NORMANDIE
88099;CHAVELOT;48.2275024139,6.43045423076;88150;88;LORRAINE
76617;SAINT-MARTIN-DU-VIVIER;49.470396647,1.15533430797;76160;76;HAUTE-NORMANDIE
32134;FREGOUVILLE;43.57691237,0.95458639452;32490;32;MIDI-PYRENEES
54452;REILLON;48.5988717503,6.74314976627;54450;54;LORRAINE
39362;MONTMOROT;46.6868843309,5.5196117795;39570;39;FRANCHE-COMTE
89463;VILLENEUVE-SAINT-SALVES;47.8501834559,3.64214223918;89230;89;BOURGOGNE
31533;SAUBENS;43.4793134879,1.3595994131;31600;31;MIDI-PYRENEES
55195;FOUCHERES-AUX-BOIS;48.631196437,5.25056095689;55500;55;LORRAINE
11038;BESSEDE-DE-SAULT;42.7846761103,2.13835524399;11140;11;LANGUEDOC-ROUSSILLON
39041;BAUME-LES-MESSIEURS;46.7048674382,5.64562570074;39210;39;FRANCHE-COMTE
87009;BEAUMONT-DU-LAC;45.7716133323,1.85480438671;87120;87;LIMOUSIN
57569;REMELING;49.413057321,6.48144808378;57480;57;LORRAINE
89068;CHABLIS;47.8075995199,3.79091424228;89800;89;BOURGOGNE
61340;RABODANGES;48.799945573,-0.290166626913;61210;61;BASSE-NORMANDIE
3290;TREVOL;46.6370512909,3.31589139326;3460;3;AUVERGNE
2A186;OLIVESE;41.8404362861,9.06885180924;20140;2A;CORSE
34035;LA BOISSIERE;43.6543984294,3.64428863872;34150;34;LANGUEDOC-ROUSSILLON
57739;WALDWEISTROFF;49.3575723655,6.49576337503;57320;57;LORRAINE
83059;FORCALQUEIRET;43.3366392546,6.09141410603;83136;83;PROVENCE-ALPES-COTE D'AZUR
78107;BREVAL;48.9549709174,1.54155385963;78980;78;ILE-DE-FRANCE
3312;VIEURE;46.5001110432,2.88222237454;3430;3;AUVERGNE
